epoch,train_loss,lr,max_miou,best_mdice,best_mhd95,best_epoch,val_loss,val_miou,val_mdice,val_mhd95,iou_cls_0,dice_cls_0,hd95_cls_0,iou_cls_1,dice_cls_1,hd95_cls_1,iou_cls_2,dice_cls_2,hd95_cls_2,iou_cls_3,dice_cls_3,hd95_cls_3
58,1.493361918,0.000120324,0.714171495,0.653666679,19.03193758,55,0.394481681,0.705631332,0.638506664,19.98659077,0.74246082,0.557177369,11.46400983,0.551374694,0.48070701,28.38833574,0.667200578,0.635969999,26.65991084,0.861489237,0.880172277,13.43410666
59,1.48842711,0.000115818,0.714171495,0.653666679,19.03193758,55,0.401150097,0.674139496,0.619532855,20.91634203,0.70242881,0.555067648,13.0332524,0.520683503,0.455349271,27.79621433,0.608753876,0.59838358,27.96223001,0.864691796,0.869330923,14.8736714
60,1.469191818,0.000111349,0.714171495,0.653666679,19.03193758,55,0.401150097,0.674139496,0.619532855,20.91634203,0.70242881,0.555067648,13.0332524,0.520683503,0.455349271,27.79621433,0.608753876,0.59838358,27.96223001,0.864691796,0.869330923,14.8736714
61,1.490031131,0.00010692,0.714171495,0.653666679,19.03193758,55,0.379886047,0.702962538,0.644614974,19.84790416,0.714972168,0.570570412,13.00040185,0.589004786,0.502403461,26.40945276,0.656792278,0.639409966,25.12948958,0.85108092,0.866076059,14.85227244
62,1.47295928,0.000102536,0.714171495,0.653666679,19.03193758,55,0.379886047,0.702962538,0.644614974,19.84790416,0.714972168,0.570570412,13.00040185,0.589004786,0.502403461,26.40945276,0.656792278,0.639409966,25.12948958,0.85108092,0.866076059,14.85227244
63,1.484660853,9.82E-05,0.714171495,0.653666679,19.03193758,55,0.391983779,0.710235013,0.645162976,19.69071292,0.725113603,0.580287874,12.71619629,0.575660781,0.493101992,26.43958642,0.685615312,0.639695073,25.09591413,0.854550357,0.867566965,14.51115482
64,1.491165203,9.39E-05,0.714171495,0.653666679,19.03193758,55,0.391983779,0.710235013,0.645162976,19.69071292,0.725113603,0.580287874,12.71619629,0.575660781,0.493101992,26.43958642,0.685615312,0.639695073,25.09591413,0.854550357,0.867566965,14.51115482
65,1.451651845,8.97E-05,0.714171495,0.653666679,19.03193758,55,0.41082421,0.700360457,0.645160185,19.54167136,0.732052498,0.569029733,11.63180245,0.560181742,0.491065315,27.44489976,0.64798523,0.640916638,25.79143179,0.86122236,0.879629054,13.29855144
66,1.481286463,8.55E-05,0.714171495,0.653666679,19.03193758,55,0.41082421,0.700360457,0.645160185,19.54167136,0.732052498,0.569029733,11.63180245,0.560181742,0.491065315,27.44489976,0.64798523,0.640916638,25.79143179,0.86122236,0.879629054,13.29855144
67,1.431274311,8.14E-05,0.714171495,0.653666679,19.03193758,55,0.373711172,0.707632939,0.638400047,19.63016685,0.749132822,0.549365177,10.82466247,0.566586861,0.486967507,27.58017205,0.654390353,0.63577788,26.67817359,0.860421718,0.881489626,13.43765931
68,1.412449854,7.74E-05,0.714171495,0.653666679,19.03193758,55,0.373711172,0.707632939,0.638400047,19.63016685,0.749132822,0.549365177,10.82466247,0.566586861,0.486967507,27.58017205,0.654390353,0.63577788,26.67817359,0.860421718,0.881489626,13.43765931
69,1.463369093,7.35E-05,0.723045256,0.648019613,19.52429937,69,0.365150578,0.723045256,0.648019613,19.52429937,0.7654125,0.547868201,10.7215697,0.574860141,0.510312119,27.55495626,0.688817869,0.653153484,26.14592803,0.863090514,0.880744649,13.67474351
